Bond_Ticker,Equity_Ticker,Issuer_Name
AAPL,AAPL US Equity,APPLE INC
ABBV,ABBV US Equity,ABBVIE INC
AIG,AIG US Equity,AMERICAN INTERNATIONAL GROUP
ALLY,ALLY US Equity,ALLY FINANCIAL INC
AMZN,AMZN US Equity,AMAZON.COM INC
BA,BA US Equity,BOEING CO/THE
BAC,BAC US Equity,BANK OF AMERICA CORP
BCS,BARC LN Equity,BARCLAYS PLC
BRAZIL,1323Z BZ Equity,REPUBLIC OF BRAZIL
C,C US Equity,CITIGROUP INC
CAT,CAT US Equity,CATERPILLAR INC
COP,COP US Equity,CONOCOPHILLIPS
CSFB,UBSG SW Equity,UBS GROUP AG-REG
CVX,CVX US Equity,CHEVRON CORP
DB,DBK GY Equity,DEUTSCHE BANK AG-REGISTERED
FHLMC,FMCC US Equity,FREDDIE MAC
FNMA,FNMA US Equity,FANNIE MAE
FORD,F US Equity,FORD MOTOR CO
GE,GE US Equity,GENERAL ELECTRIC
GNMA,,Ginnie Mae
GOOG,GOOGL US Equity,ALPHABET INC-CL A
GS,GS US Equity,GOLDMAN SACHS GROUP INC
HON,HON US Equity,HONEYWELL INTERNATIONAL INC
HSBC,HSBA LN Equity,HSBC HOLDINGS PLC
JNJ,JNJ US Equity,JOHNSON & JOHNSON
JPM,JPM US Equity,JPMORGAN CHASE & CO
JPMMT,,J.P. Morgan Mortgage Trust
KO,KO US Equity,COCA-COLA CO/THE
MCD,MCD US Equity,MCDONALD'S CORP
MET,MET US Equity,METLIFE INC
META,META US Equity,META PLATFORMS INC-CLASS A
MEXICO,1426Z MM Equity,UNITED MEXICAN STATES
MS,MS US Equity,MORGAN STANLEY
MSFT,MSFT US Equity,MICROSOFT CORP
NVDA,NVDA US Equity,NVIDIA CORP
PEP,PEP US Equity,PEPSICO INC
PETRO,PETR4 BZ Equity,PETROBRAS - PETROLEO BRAS-PR
PFE,PFE US Equity,PFIZER INC
PG,PG US Equity,PROCTER & GAMBLE CO/THE
PRU,PRU US Equity,PRUDENTIAL FINANCIAL INC
RY,RY CN Equity,ROYAL BANK OF CANADA
SLB,SLB US Equity,SLB LTD
TIPS,N/A,#N/A Invalid Security
TMO,TMO US Equity,THERMO FISHER SCIENTIFIC INC
UNH,UNH US Equity,UNITEDHEALTH GROUP INC
UST,N/A,#N/A Invalid Security
WFC,WFC US Equity,WELLS FARGO & CO
WMT,WMT US Equity,WALMART INC
XOM,XOM US Equity,EXXON MOBIL CORP
HUANEN,HNGZ CH Equity,CHINA HUANENG GROUP CO LTD
STANLN,2257Z LN Equity,STANDARD CHARTERED BANK
SHANPU,600000 CH Equity,SHANGHAI PUDONG DEVEL BANK-A
EXIMCH,EIBCZ CH Equity,EXPORT-IMPORT BANK OF CHINA/
SINOPE,SINZ CH Equity,CHINA PETROCHEMICAL CORP
YANTZE,CJSXGZ CH Equity,CHINA THREE GORGES CORP
STANLN,STAN LN Equity,STANDARD CHARTERED PLC
HUAWEI,KMCACZ CH Equity,SHENZHEN HUAWEI INVESTMENT &
CHRAIL,390 HK Equity,CHINA RAILWAY GROUP LTD-H
CHGRID,CHSGCZ CH Equity,STATE GRID CORP OF CHINA
SDIC,STATEZ CH Equity,STATE DEVELOPMENT & INVESTME
ICBCAS,601398 CH Equity,IND & COMM BK OF CHINA-A
JIANYI,JYINVZ CH Equity,CHINA JIANYIN INVESTMENT LTD
BK,BK US Equity,BANK OF NEW YORK MELLON CORP
CBAAU,CBA AU Equity,COMMONWEALTH BANK OF AUSTRAL
MIZUHO,8411 JP Equity,MIZUHO FINANCIAL GROUP INC
SUMIBK,8316 JP Equity,SUMITOMO MITSUI FINANCIAL GR
WSTP,WBC AU Equity,WESTPAC BANKING CORP
TENCNT,700 HK Equity,TENCENT HOLDINGS LTD
ORIEAS,1167Z CH Equity,CHINA ORIENT ASSET MANAGEMEN
CNOOC,1321450D LN Equity,CNOOC UK LTD
SDBC,SDBZ CH Equity,CHINA DEVELOPMENT BANK
SHPORT,600018 CH Equity,SHANGHAI INTERNATIONAL POR-A
