Equity_Ticker,Date,Year,Quarter,Revenue,EBITDA,Total_Liabilities,Cash,Net_Int_Exp
000030 KS Equity,2020-03-31,2020,1,2776152,,341999337,36671901,
000030 KS Equity,2020-06-30,2020,2,2543597,,342347344,31345634,
000030 KS Equity,2020-09-30,2020,3,2515039,,342117152,26544773,
000030 KS Equity,2020-12-31,2020,4,2426758,,350790159,30332713,
000030 KS Equity,2021-03-31,2021,1,2494086,,366382909,33387596,
000030 KS Equity,2021-06-30,2021,2,2552644,,369318153,38027832,
000030 KS Equity,2021-09-30,2021,3,2628851,,384051546,36111415,
000030 KS Equity,2021-12-31,2021,4,2729468,,391315108,34862377,
000030 KS Equity,2022-03-31,2022,1,2997156,,408066363,40131571,
000030 KS Equity,2022-06-30,2022,2,3331449,,424705345,46044572,
000030 KS Equity,2022-09-30,2022,3,3663631,,439614725,40304377,
000030 KS Equity,2022-12-31,2022,4,4600797,,417583793,43559237,
000030 KS Equity,2023-03-31,2023,1,4867869,,415507696,35837063,
000030 KS Equity,2023-06-30,2023,2,4968276,,419597515,36681937,
000030 KS Equity,2023-09-30,2023,3,5157194,,421169597,28793907,
000030 KS Equity,2023-12-31,2023,4,5442233,,431313614,35672188,
000030 KS Equity,2024-03-31,2024,1,5455272,,438267066,34909696,
000030 KS Equity,2024-06-30,2024,2,5521947,,441651444,30048118,
000030 KS Equity,2024-09-30,2024,3,5618297,,472838102,50518360,
000030 KS Equity,2024-12-31,2024,4,5412316,,456944053,38828499,
060000 KS Equity,2020-03-31,2020,1,3072248,,377633347,20721538,
060000 KS Equity,2020-06-30,2020,2,3325671,,395987212,22882011,
060000 KS Equity,2020-09-30,2020,3,3147066,,407526090,24691768,
060000 KS Equity,2020-12-31,2020,4,3263463,,408036040,22492665,
060000 KS Equity,2021-03-31,2021,1,3080115,,417648348,27395509,
060000 KS Equity,2021-06-30,2021,2,3101955,,424785554,25940417,
060000 KS Equity,2021-09-30,2021,3,3114092,,437972356,22362425,
060000 KS Equity,2021-12-31,2021,4,3369706,,450675985,27927194,
060000 KS Equity,2022-03-31,2022,1,3512142,,460648805,22853755,
060000 KS Equity,2022-06-30,2022,2,3745952,,474109615,24622190,
060000 KS Equity,2022-09-30,2022,3,4274604,,504660173,27399891,
060000 KS Equity,2022-12-31,2022,4,5615947,,484046253,27201722,
060000 KS Equity,2023-03-31,2023,1,5982949,,478159661,23622090,
060000 KS Equity,2023-06-30,2023,2,6068392,,489546010,26337435,
060000 KS Equity,2023-09-30,2023,3,6117937,,501139605,25679609,
060000 KS Equity,2023-12-31,2023,4,6654580,,493464126,25813153,
